"id","structure","reading","french","construction","example","example_reading","lesson","level","ready"
"g122","～でしょう","～でしょう","Exprimer une prévision assez probable.","Forme neutre + でしょう","あしたは晴れるでしょう。／ Il fera probablement beau demain.","あしたははれるでしょう。／ Il fera probablement beau demain.","32","N4","true"
"g123","～かもしれません","～かもしれません","Exprimer une possibilité incertaine.","Forme neutre + かもしれません","午後から雨が降るかもしれません。","ごごからあめがふるかもしれません。","32","N4","true"
"g124","命令形","めいれいけい","Donner un ordre direct et fort.","Verbe à la forme impérative","止まれ。／ Arrêtez-vous !","とまれ。／ Arrêtez-vous !","33","N4","true"
"g125","禁止形","きんしけい","Formuler une interdiction directe et forte.","Verbe dictionnaire + な","ここに入るな。／ N’entrez pas ici !","ここにはいるな。／ N’entrez pas ici !","33","N4","true"
"g126","「～」と書いてあります","「～」とかいてあります","Citer ce qui est écrit ou se lit sur un panneau ou document.","Contenu cité + と + 書いてあります／読みます","あそこに「危険」と書いてあります。","あそこに「きけん」とかいてあります。","33","N4","true"
"g127","～は～という意味です","～は～といういみです","Expliquer la signification d’un mot ou symbole.","Terme + は + définition + という意味です","「立入禁止」は入るなという意味です。","「たちいりきんし」ははいるなといういみです。","33","N4","true"
"g128","～と言っていました","～といっていました","Rapporter le message de quelqu’un.","Forme neutre + と + 言っていました","田中さんは遅れると言っていました。","たなかさんはおくれるといっていました。","33","N4","true"
"g129","～と伝えていただけませんか","～とつたえていただけませんか","Demander poliment de transmettre un message.","Message + と + 伝えていただけませんか","会議は中止だと伝えていただけませんか。","かいぎはちゅうしだとつたえていただけませんか。","33","N4","true"
"g130","～とおりに、～","～とおりに、～","Faire quelque chose conformément à un modèle ou des instructions.","Verbe dictionnaire／forme en た／nom + の + とおりに","説明書のとおりに組み立てます。","せつめいしょのとおりにくみたてます。","34","N4","true"
"g131","～あとで、～","～あとで、～","Indiquer qu’une action a lieu après une autre.","Verbe en た／nom + の + あとで","仕事が終わったあとで、飲みに行きます。","しごとがおわったあとで、のみにいきます。","34","N4","true"
"g132","～て、～／～ないで、～","～て、～／～ないで、～","Indiquer la manière ou l’état accompagnant une action.","Verbe en て／forme en ない + で + action","傘を持って出かけます。","かさをもってでかけます。","34","N4","true"
"g133","～ないで、～","～ないで、～","Faire une action sans en faire une autre.","Verbe en ない + で + action","朝ご飯を食べないで会社へ行きました。","あさごはんをたべないでかいしゃへいきました。","34","N4","true"
"g134","～ば","～ば","Exprimer une condition générale ou hypothétique.","Verbe à la forme conditionnelle en ば","ボタンを押せば、切符が出ます。","ボタンをおせば、きっぷがでます。","35","N4","true"
"g135","～ければ／～なら","～ければ／～なら","Former la condition avec les adjectifs et les noms.","Adjectif-i en ければ／adjectif-na ou nom + なら","安ければ、買います。／ Si c’est bon marché, je l’achèterai.","やすければ、かいます。／ Si c’est bon marché, je l’achèterai.","35","N4","true"
"g136","～なら（thème）","～なら","Reprendre un thème pour donner un conseil ou une information.","Nom + なら + commentaire","京都なら、秋がいいです。","きょうとなら、あきがいいです。","35","N4","true"
"g137","～ように、～","～ように、～","Exprimer un objectif portant sur une capacité ou un état.","Verbe dictionnaire ou forme en ない + ように","忘れないようにメモします。","わすれないようにメモします。","36","N4","true"
"g138","～ようになります","～ようになります","Exprimer une évolution de capacité ou d’habitude.","Verbe dictionnaire ou forme en ない + ようになります","日本語が話せるようになりました。","にほんごがはなせるようになりました。","36","N4","true"
"g139","～ようにします","～ようにします","Exprimer un effort régulier ou une règle personnelle.","Verbe dictionnaire ou forme en ない + ようにします","毎日歩くようにしています。","まいにちあるくようにしています。","36","N4","true"
"g140","受け身","うけみ","Exprimer qu’une personne ou une chose subit une action.","Sujet + は + agent + に + verbe passif","わたしは先生に褒められました。","わたしはせんせいにほめられました。","37","N4","true"
"g141","～に＜possession＞を～られます","～に＜しょゆうぶつ＞を～られます","Exprimer qu’une action subie touche une possession du sujet.","Personne + は + agent + に + possession + を + passif","わたしは弟にカメラを壊されました。","わたしはおとうとにカメラをこわされました。","37","N4","true"
"g142","～が／は～られます","～が／は～られます","Décrire objectivement une action au passif.","Objet + が／は + verbe passif","この寺は八百年前に建てられました。","このてらははっぴゃくねんまえにたてられました。","37","N4","true"
"g143","～によって～られます","～によって～られます","Nommer l’auteur ou le créateur dans une phrase passive.","Œuvre + は + auteur + によって + verbe passif","この絵はピカソによって描かれました。","このえはピカソによってえがかれました。","37","N4","true"
"g144","～のは＜形容詞＞です","～のは＜けいようし＞です","Nominaliser une action et la décrire.","Forme neutre + のは + adjectif + です","新しい言葉を覚えるのは楽しいです。","あたらしいことばをおぼえるのはたのしいです。","38","N4","true"
"g145","～のが＜形容詞＞です","～のが＜けいようし＞です","Exprimer une aptitude, une préférence ou une difficulté concernant une action.","Forme neutre + のが + adjectif + です","わたしは泳ぐのが好きです。","わたしはおよぐのがすきです。","38","N4","true"
"g146","～のを忘れました","～のをわすれました","Dire que l’on a oublié de faire quelque chose.","Forme neutre + のを + 忘れました","宿題を出すのを忘れました。","しゅくだいをだすのをわすれました。","38","N4","true"
"g147","～のを知っています","～のをしっています","Dire que l’on sait qu’un fait ou événement existe.","Forme neutre + のを + 知っています","田中さんが結婚したのを知っていますか。","たなかさんがけっこんしたのをしっていますか。","38","N4","true"
"g148","～のは＜名詞＞です","～のは＜めいし＞です","Mettre en relief un élément d’une proposition.","Forme neutre + のは + nom + です","日本へ来たのは去年です。","にほんへきたのはきょねんです。","38","N4","true"
"g149","～て／～くて／～で（cause）","～て／～くて／～で","Exprimer une cause menant naturellement à un sentiment ou un résultat.","Verbe en て／adjectif-i en くて／nom ou adjectif-na + で","ニュースを聞いて、びっくりしました。","ニュースをきいて、びっくりしました。","39","N4","true"
"g150","～ので、～","～ので、～","Donner une raison de façon plus neutre et polie que から.","Forme neutre + ので／nom et adjectif-na + なので","用事があるので、お先に失礼します。","ようじがあるので、おさきにしつれいします。","39","N4","true"
"g151","疑問詞～か","ぎもんし～か","Intégrer une question indirecte comportant un mot interrogatif.","Interrogatif + forme neutre + か","会議が何時に始まるか知っていますか。","かいぎがなんじにはじまるかしっていますか。","40","N4","true"
"g152","～かどうか","～かどうか","Exprimer une question indirecte avec « si oui ou non ».","Forme neutre + かどうか","間に合うかどうか、わかりません。","まにあうかどうか、わかりません。","40","N4","true"
"g153","～てみます","～てみます","Essayer de faire quelque chose pour voir le résultat.","Verbe en て + みます","この服を着てみてもいいですか。","このふくをきてみてもいいですか。","40","N4","true"
"g154","～をいただきます／くださいます／やります","～をいただきます／くださいます／やります","Exprimer le don avec les formes honorifiques ou selon la hiérarchie.","Donneur/receveur + particules + いただきます／くださいます／やります","先生に本をいただきました。","せんせいにほんをいただきました。","41","N4","true"
"g155","～ていただきます／くださいます／やります","～ていただきます／くださいます／やります","Exprimer le bénéfice d’une action avec déférence.","Verbe en て + いただきます／くださいます／やります","先生に作文を直していただきました。","せんせいにさくぶんをなおしていただきました。","41","N4","true"
"g156","～てくださいませんか","～てくださいませんか","Formuler une demande très polie.","Verbe en て + くださいませんか","もう一度説明してくださいませんか。","もういちどせつめいしてくださいませんか。","41","N4","true"
"g157","～ために、～","～ために、～","Exprimer un objectif volontaire.","Verbe dictionnaire／nom + の + ために","日本で働くために、日本語を勉強しています。","にほんではたらくために、にほんごをべんきょうしています。","42","N4","true"
"g158","～のに使います","～のにつかいます","Exprimer l’usage ou la fonction de quelque chose.","Verbe dictionnaire／nom + に + 使います","このはさみは紙を切るのに使います。","このはさみはかみをきるのにつかいます。","42","N4","true"
"g159","＜数量＞は／も","＜すうりょう＞は／も","Exprimer un minimum approximatif ou une quantité jugée importante.","Quantité + は／も","駅まで三十分はかかります。","えきまでさんじゅうふんはかかります。","42","N4","true"
"g160","～そうです（apparence）","～そうです","Exprimer une apparence ou une prévision fondée sur ce que l’on voit.","Base en ます／radical adjectival + そうです","雨が降りそうです。／ On dirait qu’il va pleuvoir.","あめがふりそうです。／ On dirait qu’il va pleuvoir.","43","N4","true"
"g161","～てきます","～てきます","S’éloigner pour faire une action puis revenir, ou décrire un mouvement vers le locuteur.","Verbe en て + きます","ちょっと飲み物を買ってきます。","ちょっとのみものをかってきます。","43","N4","true"
"g162","～すぎます","～すぎます","Exprimer un excès.","Base en ます／radical adjectival + すぎます","きのうお酒を飲みすぎました。","きのうおさけをのみすぎました。","44","N4","true"
"g163","～やすい／にくいです","～やすい／にくいです","Exprimer qu’une action est facile ou difficile à réaliser.","Base en ます + やすい／にくいです","このペンは書きやすいです。","このペンはかきやすいです。","44","N4","true"
"g164","～く／にします","～く／にします","Exprimer un changement volontaire d’état.","Adjectif-i en く／adjectif-na ou nom + に + します","音を小さくしてください。","おとをちいさくしてください。","44","N4","true"
"g165","～場合は、～","～ばあいは、～","Présenter un cas ou une éventualité.","Forme neutre + 場合は／nom + の場合は","火事の場合は、エレベーターを使わないでください。","かじのばあいは、エレベーターをつかわないでください。","45","N4","true"
"g166","～のに、～","～のに、～","Exprimer un résultat contraire à ce qui était attendu.","Forme neutre + のに／nom et adjectif-na + なのに","薬を飲んだのに、よくなりません。","くすりをのんだのに、よくなりません。","45","N4","true"
"g167","～ところです","～ところです","Situer une action juste avant, pendant ou juste après son déroulement.","Dictionnaire／ている／forme en た + ところです","今から出かけるところです。","いまからでかけるところです。","46","N4","true"
"g168","～たばかりです","～たばかりです","Dire qu’une action vient d’être accomplie selon le ressenti du locuteur.","Verbe en た + ばかりです","さっき昼ご飯を食べたばかりです。","さっきひるごはんをたべたばかりです。","46","N4","true"
"g169","～はずです","～はずです","Exprimer une conviction fondée sur une raison logique.","Forme neutre + はずです／nom + のはずです","田中さんは来るはずです。","たなかさんはくるはずです。","46","N4","true"
"g170","～そうです（ouï-dire）","～そうです","Rapporter une information entendue ou lue.","Forme neutre + そうです","天気予報によると、あしたは雨だそうです。","てんきよほうによると、あしたはあめだそうです。","47","N4","true"
"g171","～ようです","～ようです","Exprimer une supposition fondée sur des indices.","Forme neutre + ようです／nom + のようです","外は寒いようです。","そとはさむいようです。","47","N4","true"
"g172","使役形","しえきけい","Exprimer que quelqu’un fait faire ou laisse faire une action.","Personne + を／に + verbe causatif","先生は学生に作文を書かせました。","せんせいはがくせいにさくぶんをかかせました。","48","N4","true"
"g173","～させていただけませんか","～させていただけませんか","Demander très poliment l’autorisation de faire quelque chose.","Verbe causatif en て + いただけませんか","早く帰らせていただけませんか。","はやくかえらせていただけませんか。","48","N4","true"
"g174","尊敬語 ～られます","そんけいご ～られます","Élever l’action de l’interlocuteur ou d’une personne respectée.","Verbe à la forme passive honorifique","社長はもう帰られました。","しゃちょうはもうかえられました。","49","N4","true"
"g175","お～になります","お～になります","Former une expression honorifique régulière.","お + base en ます + になります","先生は何時にお帰りになりますか。","せんせいはなんじにおかえりになりますか。","49","N4","true"
"g176","特別な尊敬語","とくべつなそんけいご","Employer les verbes honorifiques irréguliers.","いらっしゃいます／召し上がります／ご覧になります…","先生はもうお帰りになりました。","せんせいはもうおかえりになりました。","49","N4","true"
"g177","お～ください","お～ください","Formuler une invitation ou demande honorifique.","お + base en ます + ください","こちらでお待ちください。","こちらでおまちください。","49","N4","true"
"g178","お／ご～します","お／ご～します","Abaisser poliment sa propre action au bénéfice d’autrui.","お + base en ます + します／ご + nom verbal + します","お荷物をお持ちします。","おにもつをおもちします。","50","N4","true"
"g179","特別な謙譲語","とくべつなけんじょうご","Employer les verbes humbles irréguliers.","参ります／申します／拝見します／伺います…","わたしがご案内いたします。","わたしがごあんないいたします。","50","N4","true"
"g180","丁寧語","ていねいご","Employer des formes particulièrement polies.","ございます／～でございます","受付は二階でございます。","うけつけはにかいでございます。","50","N4","true"
